"","CONTRIBUTION_ID","PERIOD_START","PERIOD_END","CONTRIBUTION_DATE","RECIPIENT","AMOUNT","LOBBYIST_ID","LOBBYIST_FIRST_NAME","LOBBYIST_LAST_NAME","CREATED_DATE","CONTRIBUTION_DATE3","recipient_surname"
"61",1803,"10/01/2012","12/31/2012","10/16/2012","Citizens for Ervin","$250.00",5891,"Elizabeth","Lively","01/14/2013",2012-10-16,"Ervin"
"62",2086,"10/01/2012","12/31/2012","10/05/2012","Citizens for Patrick J O'Connore","$500.00",8124,"Stephen","Friedman","01/30/2013",2012-10-05,"O'Connor"
"63",2002,"10/01/2012","12/31/2012","10/10/2012","Citizens for Will Burns","$1000.00",11462,"Paul","Rosenfeld","01/28/2013",2012-10-10,"Burns"
"64",1981,"10/01/2012","12/31/2012","12/06/2012","Ald Bob Fioretti (for fundraiser","$500.00",9227,"Arnold","Harris","01/22/2013",2012-12-06,"Fioretti"
"65",2105,"10/01/2012","12/31/2012","10/10/2012","Rey Colon","$250.00",9910,"Jerome","Schain","01/31/2013",2012-10-10,NA
"66",2033,"10/01/2012","12/31/2012","12/21/2012","Alderman Carrie Austin","$500.00",5788,"John","Sterling","01/28/2013",2012-12-21,"Austin"
"67",2186,"10/01/2012","12/31/2012","11/28/2012","Citizens for Pat Dowell","$500.00",11806,"Stephen","Friedman","02/11/2013",2012-11-28,"Dowell"
"68",2452,"01/01/2013","03/31/2013","02/20/2013","11th Ward Democratic Party Campaign Committee","$600.00",11022,"Elizabeth","Lively","04/12/2013",2013-02-20,NA
"69",2447,"01/01/2013","03/31/2013","02/01/2013","Friends of Leslie Hairston","$150.00",11022,"Elizabeth","Lively","04/12/2013",2013-02-01,"Hairston"
"70",2550,"01/01/2013","03/31/2013","02/21/2013","Alderman Proco ""Joe"" Moreno","$300.00",11509,"MICHAEL","KASPER","04/19/2013",2013-02-21,"Moreno"
"71",2548,"01/01/2013","03/31/2013","02/21/2013","Alderman Jason Ervin","$300.00",11509,"MICHAEL","KASPER","04/19/2013",2013-02-21,"Ervin"
"72",2542,"01/01/2013","03/31/2013","02/25/2013","CITIZENS TO ELECT JOHN ARENA","$250.00",12773,"William","Banks","04/18/2013",2013-02-25,NA
"73",2541,"01/01/2013","03/31/2013","01/17/2013","George A. Cardenas","$750.00",11223,"Bill","McManus","04/18/2013",2013-01-17,"Cardenas"
"74",2610,"01/01/2013","03/31/2013","02/21/2013","Alderman Richard Mell","$300.00",12816,"MICHAEL","KASPER","04/22/2013",2013-02-21,"Mell"
"75",2628,"01/01/2013","03/31/2013","04/22/2013","none","$0.00",12801,"Kevin","Mendoza","04/22/2013",2013-04-22,NA
"76",2463,"01/01/2013","03/31/2013","01/17/2013","George Cardenas","$250.00",11176,"Daniel","Shomon","04/13/2013",2013-01-17,"Cardenas"
"77",2582,"01/01/2013","03/31/2013","01/31/2013","Beale for Congress","$250.00",11603,"Angelica","Marks","04/22/2013",2013-01-31,"Beale"
"78",2623,"01/01/2013","03/31/2013","02/21/2013","Alderman Proco Joe Moreno","$300.00",12818,"David","Dring","04/22/2013",2013-02-21,"Moreno"
"79",2505,"01/01/2013","03/31/2013","03/25/2013","FRIENDS OF MICHELLE HARRIS","$250.00",12729,"William","Banks","04/17/2013",2013-03-25,NA
"80",2365,"01/01/2013","03/31/2013","02/21/2013","Alderman Richard F. Mell","$300.00",11513,"David","Dring","04/09/2013",2013-02-21,"Mell"
"81",2522,"01/01/2013","03/31/2013","02/06/2013","Friends of Leslie A. Hairston","$150.00",11883,"Graham","Grady","04/18/2013",2013-02-06,"Hairston"
"82",3406,"04/01/2013","06/30/2013","05/31/2013","Preckwinkle for President","$500.00",13981,"Mara","Georges","07/08/2013",2013-05-31,"Preckwinkle"
"83",3466,"04/01/2013","06/30/2013","06/07/2013","11th Ward Democratic Party","$500.00",12985,"David","Dring","07/10/2013",2013-06-07,NA
"84",3463,"04/01/2013","06/30/2013","06/07/2013","Alderman Joe Moore","$250.00",12985,"David","Dring","07/10/2013",2013-06-07,"Moore"
"85",3462,"04/01/2013","06/30/2013","06/06/2013","Alderman Mike Zalewski","$500.00",12985,"David","Dring","07/10/2013",2013-06-06,"Zalewski"
"86",3461,"04/01/2013","06/30/2013","05/09/2013","Alderman Will Burns","$1000.00",12985,"David","Dring","07/10/2013",2013-05-09,"Burns"
"87",3253,"04/01/2013","06/30/2013","06/14/2013","Pat Dowell","$500.00",13863,"Elvin","Charity","07/01/2013",2013-06-14,"Dowell"
"88",3501,"04/01/2013","06/30/2013","06/24/2013","Friends for Proco Joe Moreno","$30.00",11022,"Elizabeth","Lively","07/11/2013",2013-06-24,"Moreno"
"89",3502,"04/01/2013","06/30/2013","05/17/2013","Citizens for Reilly","$100.00",12621,"Thomas","Wolf","07/11/2013",2013-05-17,"Reilly"
"90",2901,"01/01/2013","03/31/2013","02/21/2013","Alderman Jason Ervin","$300.00",13041,"MICHAEL","KASPER","05/06/2013",2013-02-21,"Ervin"
"91",3305,"04/01/2013","06/30/2013","05/31/2013","Preckwinkle for President","$500.00",13361,"Mara","Georges","07/03/2013",2013-05-31,"Preckwinkle"
"92",3515,"04/01/2013","06/30/2013","05/01/2013","Friends of Will Burns","$300.00",14043,"Graham","Grady","07/11/2013",2013-05-01,"Burns"
"93",2846,"01/01/2013","03/31/2013","01/16/2013","Alderman George Cardenas","$500.00",12983,"MICHAEL","KASPER","05/01/2013",2013-01-16,"Cardenas"
"94",2845,"01/01/2013","03/31/2013","03/12/2013","Alderman Michelle Harris","$500.00",12983,"MICHAEL","KASPER","05/01/2013",2013-03-12,"Harris"
"95",2842,"01/01/2013","03/31/2013","02/21/2013","Alderman Brendan Reilly","$500.00",12983,"MICHAEL","KASPER","05/01/2013",2013-02-21,"Reilly"
"96",2859,"01/01/2013","03/31/2013","02/21/2013","Alderman Jason Ervin","$300.00",12985,"David","Dring","05/01/2013",2013-02-21,"Ervin"
"97",2857,"01/01/2013","03/31/2013","02/21/2013","Alderman Richard F. Mell","$300.00",12985,"David","Dring","05/01/2013",2013-02-21,"Mell"
"98",2982,"01/01/2013","03/31/2013","02/25/2013","Anthony Beale for Congress","$25.00",13281,"Danielle","Cassel","05/20/2013",2013-02-25,"Beale"
"99",3381,"04/01/2013","06/30/2013","06/30/2013","n/a","$0.00",11275,"Steven","Ginsberg","07/06/2013",2013-06-30,NA
"100",2661,"01/01/2013","03/31/2013","02/08/2013","Citizens for Joe Moore","$1000.00",11344,"Arnold","Harris","04/23/2013",2013-02-08,"Moore"
"101",3592,"04/01/2013","06/30/2013","06/07/2013","Alderman Patrick J. O'Connor","$500.00",13041,"MICHAEL","KASPER","07/16/2013",2013-06-07,"O'Connor"
"102",3590,"04/01/2013","06/30/2013","06/07/2013","Alderman Joe Moore","$250.00",13041,"MICHAEL","KASPER","07/16/2013",2013-06-07,"Moore"
"103",3588,"04/01/2013","06/30/2013","05/09/2013","Alderman Will Burns","$1000.00",13041,"MICHAEL","KASPER","07/16/2013",2013-05-09,"Burns"
"104",3641,"04/01/2013","06/30/2013","04/26/2013","Alderman Will Burns","$1000.00",12181,"Terry","Teele","07/18/2013",2013-04-26,"Burns"
"105",3771,"04/01/2013","06/30/2013","05/06/2013","Friends of Will Burns","$500.00",10403,"Michael","Sutton","07/19/2013",2013-05-06,"Burns"
"106",3602,"04/01/2013","06/30/2013","06/15/2013","19th Ward Organization","$1000.00",11127,"Thomas","Livingston","07/17/2013",2013-06-15,NA
"107",3666,"04/01/2013","06/30/2013","04/17/2013","Friends of Ameya Pawar","$500.00",14307,"Jerome","Schain","07/18/2013",2013-04-17,"Pawar"
"108",3888,"01/01/2013","03/31/2013","01/17/2013","Friends of George Cardenas","$500.00",14442,"Rolando","Acosta","07/29/2013",2013-01-17,"Cardenas"
"109",3924,"01/01/2013","03/31/2013","02/26/2013","State Senator Toi Hutchinson","$250.00",14464,"Bridget","O'Keefe","07/30/2013",2013-02-26,NA
"110",3541,"04/01/2013","06/30/2013","06/27/2013","Alderman Fioretti Event","$250.00",12163,"Mitchell","Feldman","07/15/2013",2013-06-27,"Fioretti"
"111",3728,"01/01/2013","03/31/2013","03/12/2013","Alderman Michelle Harris","$500.00",14322,"COURTNEY","NOTTAGE","07/19/2013",2013-03-12,"Harris"
"112",3681,"04/01/2013","06/30/2013","04/18/2013","Citizens for O'Connor","$100.00",13261,"Michael","Lufrano","07/19/2013",2013-04-18,"O'Connor"
"113",3862,"04/01/2013","06/30/2013","05/29/2013","Friends of Will Burns","$500.00",11822,"Rolando","Acosta","07/26/2013",2013-05-29,"Burns"
"114",3561,"04/01/2013","06/30/2013","06/19/2013","Friends of Kwame Raoul","$250.00",12864,"Gyata","Kimmons","07/15/2013",2013-06-19,NA
"115",3705,"04/01/2013","06/30/2013","06/07/2013","11th Ward Democratic Party","$500.00",14321,"MICHAEL","KASPER","07/19/2013",2013-06-07,NA
"116",3702,"04/01/2013","06/30/2013","05/09/2013","Alderman Will Burns","$1000.00",14321,"MICHAEL","KASPER","07/19/2013",2013-05-09,"Burns"
"117",3767,"04/01/2013","06/30/2013","05/10/2013","Deb Graham","$250.00",13362,"John","Dunn","07/19/2013",2013-05-10,"Graham"
"118",4025,"04/01/2013","06/30/2013","06/04/2013","Citizens for Cappleman","$250.00",14861,"Graham","Grady","08/20/2013",2013-06-04,"Cappleman"
"119",3807,"04/01/2013","06/30/2013","04/15/2013","Friends of Proco Joe Moreno","$1500.00",11090,"Michael","Paulos","07/22/2013",2013-04-15,"Moreno"
"120",3821,"04/01/2013","06/30/2013","04/11/2013","Friends of Michelle Harris","$1000.00",11390,"Yafawn","Smith","07/23/2013",2013-04-11,"Harris"
"121",3890,"04/01/2013","06/30/2013","05/29/2013","Friends of Will Burns","$500.00",14443,"Rolando","Acosta","07/29/2013",2013-05-29,"Burns"
"122",3904,"01/01/2013","03/31/2013","02/25/2013","Citizens for Joe Moore","$250.00",14444,"Rolando","Acosta","07/29/2013",2013-02-25,"Moore"
"123",3914,"04/01/2013","06/30/2013","05/04/2013","Citizens for Munoz","$250.00",14446,"John","George","07/29/2013",2013-05-04,"Munoz"
"124",3918,"04/01/2013","06/30/2013","05/04/2013","Friends of Leslie Hairston","$250.00",14447,"John","George","07/29/2013",2013-05-04,"Hairston"
"125",3916,"04/01/2013","06/30/2013","05/04/2013","Citizens for Munoz","$250.00",14447,"John","George","07/29/2013",2013-05-04,"Munoz"
"126",4303,"04/01/2013","06/30/2013","05/28/2013","4th Ward Alderman Will Burns","$250.00",15382,"Mara","Georges","09/30/2013",2013-05-28,"Burns"
"127",4339,"01/01/2013","03/31/2013","02/14/2013","citizens for austin","$200.00",15406,"William","Filan","10/08/2013",2013-02-14,NA
"128",4420,"07/01/2013","09/30/2013","09/20/2013","Friends of Leslie A. Hairston","$150.00",11022,"Elizabeth","Lively","10/15/2013",2013-09-20,"Hairston"
"129",4419,"07/01/2013","09/30/2013","09/18/2013","Citizens for Cappleman","$100.00",11022,"Elizabeth","Lively","10/15/2013",2013-09-18,"Cappleman"
"130",4046,"01/01/2013","03/31/2013","03/25/2013","FRIENDS OF MICHELLE HARRIS","$250.00",14942,"William","Banks","08/27/2013",2013-03-25,NA
"131",4237,"04/01/2013","06/30/2013","06/06/2013","Alderman Mike Zalewski","$500.00",15305,"MICHAEL","KASPER","09/24/2013",2013-06-06,"Zalewski"
"132",4236,"04/01/2013","06/30/2013","06/07/2013","Alderman Michele Smith","$250.00",15305,"MICHAEL","KASPER","09/24/2013",2013-06-07,"Smith"
"133",4244,"01/01/2013","03/31/2013","03/27/2013","25th Ward Regular Democratic Organization","$500.00",15305,"MICHAEL","KASPER","09/24/2013",2013-03-27,NA
"134",4243,"01/01/2013","03/31/2013","02/21/2013","Alderman Richard Mell","$300.00",15305,"MICHAEL","KASPER","09/24/2013",2013-02-21,"Mell"
"135",4264,"04/01/2013","06/30/2013","06/07/2013","11th Ward Democratic Party","$500.00",15307,"David","Dring","09/24/2013",2013-06-07,NA
"136",4251,"01/01/2013","03/31/2013","02/21/2013","Alderman Jason Ervin","$300.00",15306,"COURTNEY","NOTTAGE","09/24/2013",2013-02-21,"Ervin"
"137",4245,"01/01/2013","03/31/2013","03/12/2013","Alderman Michelle Harris","$500.00",15306,"COURTNEY","NOTTAGE","09/24/2013",2013-03-12,"Harris"
"138",4267,"01/01/2013","03/31/2013","03/12/2013","Alderman Michelle A. Harris","$500.00",15307,"David","Dring","09/24/2013",2013-03-12,"Harris"
"139",4288,"01/01/2013","03/31/2013","02/26/2013","State Senator Toi Hutchinson","$250.00",15322,"Bridget","O'Keefe","09/25/2013",2013-02-26,NA
"140",4367,"04/01/2013","06/30/2013","06/04/2013","Alderman Will Burns","$150.00",15428,"Danielle","Cassel","10/11/2013",2013-06-04,"Burns"
"141",4366,"04/01/2013","06/30/2013","04/11/2013","Alderman Rod Sawyer","$150.00",15428,"Danielle","Cassel","10/11/2013",2013-04-11,"Sawyer"
"142",4105,"01/01/2013","03/31/2013","02/14/2013","CITIZENS FOR JOE MOORE","$250.00",15083,"William","Banks","09/05/2013",2013-02-14,NA
"143",4145,"01/01/2013","03/31/2013","03/27/2013","25th Ward Regular Democratic Organization","$500.00",15221,"MICHAEL","KASPER","09/16/2013",2013-03-27,NA
"144",4153,"04/01/2013","06/30/2013","05/09/2013","Alderman Will Burns","$1000.00",15221,"MICHAEL","KASPER","09/16/2013",2013-05-09,"Burns"
"145",4149,"04/01/2013","06/30/2013","06/07/2013","Alderman Walter Burnett","$500.00",15221,"MICHAEL","KASPER","09/16/2013",2013-06-07,"Burnett"
"146",4180,"01/01/2013","03/31/2013","02/21/2013","Alderman Brendan Reilly","$500.00",15223,"David","Dring","09/16/2013",2013-02-21,"Reilly"
"147",4081,"07/01/2013","09/30/2013","08/30/2013","N/a","$0.00",11642,"Charlotte","Knight-Marshall","08/30/2013",2013-08-30,NA
"148",4402,"01/01/2013","03/31/2013","03/25/2013","25th Ward Regular Democratic Organization (celebrating 17 years of service by Alderman Solis)","$150.00",15461,"Danielle","Cassel","10/15/2013",2013-03-25,"Solis"
"149",4529,"01/01/2013","03/31/2013","03/21/2013","Friends of Proco Joe Moreno","$250.00",15506,"Jerome","Schain","10/21/2013",2013-03-21,"Moreno"
"150",4533,"04/01/2013","06/30/2013","04/17/2013","Citizens for O'Connor","$100.00",15511,"Katriina","McGuire","10/21/2013",2013-04-17,"O'Connor"
"151",4534,"07/01/2013","09/30/2013","09/13/2013","Friends of Margaret Laurino","$200.00",13948,"Betsy","Sales","10/21/2013",2013-09-13,"Laurino"
"152",4571,"01/01/2013","03/31/2013","02/26/2013","State Senator Toi Hutchinson","$250.00",15525,"Bridget","O'Keefe","10/22/2013",2013-02-26,NA
"153",4442,"04/01/2013","06/30/2013","05/01/2013","Walter Burnett","$150.00",15469,"Bridget","O'Keefe","10/17/2013",2013-05-01,"Burnett"
"154",4606,"07/01/2013","09/30/2013","09/19/2013","Citizens for Patrick O'Connor","$500.00",15541,"John","George","10/23/2013",2013-09-19,"O'Connor"
"155",4609,"07/01/2013","09/30/2013","09/19/2013","23rd Ward Regular Democratic Organization","$500.00",15542,"John","George","10/23/2013",2013-09-19,NA
"156",4706,"04/01/2013","06/30/2013","05/16/2013","the Burnham Committee Legal Leaders Breakfast","$1500.00",15967,"Mara","Georges","11/25/2013",2013-05-16,NA
"157",4765,"04/01/2013","06/30/2013","05/09/2013","Alderman Will Burns","$1000.00",16021,"MICHAEL","KASPER","12/05/2013",2013-05-09,"Burns"
"158",4781,"04/01/2013","06/30/2013","06/21/2013","The New 37th Ward Democratic Organization","$125.00",16022,"Graham","Grady","12/05/2013",2013-06-21,NA
"159",4466,"04/01/2013","06/30/2013","06/24/2013","John Pope","$1000.00",15483,"Marcus","Nunes","10/18/2013",2013-06-24,"Pope"
"160",4465,"04/01/2013","06/30/2013","04/17/2013","Walter Burnett","$250.00",15483,"Marcus","Nunes","10/18/2013",2013-04-17,"Burnett"
"161",4468,"01/01/2013","03/31/2013","03/21/2013","John Arena","$250.00",15483,"Marcus","Nunes","10/18/2013",2013-03-21,"Arena"
"162",4523,"07/01/2013","09/30/2013","09/19/2013","25th Ward Regular Democratic Organization","$500.00",14444,"Rolando","Acosta","10/21/2013",2013-09-19,NA
"163",4561,"07/01/2013","09/30/2013","09/24/2013","Friends of Nicholas Sposato","$250.00",15522,"Michael","Paulos","10/22/2013",2013-09-24,"Sposato"
"164",4565,"04/01/2013","06/30/2013","06/25/2013","Citizens for Tunney","$500.00",15522,"Michael","Paulos","10/22/2013",2013-06-25,"Tunney"
"165",4682,"04/01/2013","06/30/2013","06/03/2013","Citizens for Reboyras","$300.00",15901,"Graham","Grady","11/14/2013",2013-06-03,"Reboyras"
"166",4686,"01/01/2013","03/31/2013","02/06/2013","Friends of Leslie A. Hairston","$150.00",15901,"Graham","Grady","11/14/2013",2013-02-06,"Hairston"
"167",5289,"10/01/2013","12/31/2013","12/05/2013","Friends of Bob Fioretti","$500.00",15465,"John","Kelly, Jr.","01/17/2014",2013-12-05,"Fioretti"
"168",5051,"10/01/2013","12/31/2013","12/18/2013","Alderman Mary O'Connor","$500.00",15307,"David","Dring","01/07/2014",2013-12-18,"O'Connor"
"169",5025,"10/01/2013","12/31/2013","10/28/2013","Friends of Mary O'Connor","$100.00",13501,"Elizabeth","Coolidge","01/06/2014",2013-10-28,"O'Connor"
"170",4861,"04/01/2013","06/30/2013","05/01/2013","Walter Burnett","$150.00",16201,"Bridget","O'Keefe","12/18/2013",2013-05-01,"Burnett"
"171",4969,"10/01/2013","12/31/2013","12/04/2013","Friends to Elect Toni Foulkes","$1500.00",11390,"Yafawn","Smith","12/30/2013",2013-12-04,"Foulkes"
"172",5083,"10/01/2013","12/31/2013","12/01/2013","FRIENDS FOR MARY O'CONNOR","$1500.00",14124,"John","Doerrer","01/09/2014",2013-12-01,NA
"173",5161,"10/01/2013","12/31/2013","01/01/2014","none","$0.00",11711,"Eric","Locke","01/13/2014",2014-01-01,NA
